chk_360a5c7b	00103316	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	6328.77	KKP	1000050228	LITSM/PBF/68-02033		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย เทศบาลตำบลศาลาลำดวน 1 | สัญญา: LITSM/PBF/68-02033 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_af941ed7	10000046	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	6328.77	กสิกรไทย	1333102125	LITSM/PBF/68-01018		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.ม่วงคำ สัญญา 8/2568 | สัญญา: LITSM/PBF/68-01018 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_6f9856ac	10000050	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	6328.77	กสิกรไทย	1333102125	LITSM/PBF/68-01019		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.ม่วงคำ สัญญา 9/2568 | สัญญา: LITSM/PBF/68-01019 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_3892e85a	10000054	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	6328.77	กสิกรไทย	1333102125	LITSM/PBF/68-01020		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.ม่วงคำ สัญญา 10/2568 | สัญญา: LITSM/PBF/68-01020 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_0425e008	10000058	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	6328.77	กสิกรไทย	1333102125	LITSM/PBF/68-02034		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย เทศบาลตำบลศาลาลำดวน 2 | สัญญา: LITSM/PBF/68-02034 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_65c6880c	10000087	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	4660.28	กสิกรไทย	1333102125	LITSM/PBF/67-11104		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย - AW069-PLS-บ้านห้วยทราย ม.6 ต.นาเชือก อ.นาเชือก จ.มหาสารคาม | สัญญา: LITSM/PBF/67-11104 | วันจ่ายเช็ค: 2024-11-28 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_e2d09c26	10000091	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	4660.28	กสิกรไทย	1333102125	LITSM/PBF/67-11105		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย - AW065-PL-บ้านบางเตยเหนือ ม.1 ต.บางเตย อ.เมืองพังงา จ.พังงา | สัญญา: LITSM/PBF/67-11105 | วันจ่ายเช็ค: 2024-11-28 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_11f80b52	10000095	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	146482.19	กสิกรไทย	1333102125	LITSM/PBF/68-01022		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย - เทศบาลตำบลบัลลังก์ 20 โครงการ | สัญญา: LITSM/PBF/68-01022 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_da249942	10000099	2025-02-21	บริษัท ลีซ อิท จำกัด (มหาชน)	37339.73	กสิกรไทย	1333102125	LITSM/PBF/68-01021		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย เทศบาลตำบลนาสีทอง | สัญญา: LITSM/PBF/68-01021 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-02-21 | วันรับเช็คคืน: -
chk_dfb10dac	10000084	2025-02-27	บริษัท ลีซ อิท จำกัด (มหาชน)	1890000	กสิกรไทย	1333102125	LITSM/PBF/67-11104		ได้รับคืนแล้ว	ประเภท: ค้ำเงินต้น | หมายเหตุ: เช็คเงินต้น - AW069-PLS-บ้านห้วยทราย ม.6 ต.นาเชือก อ.นาเชือก จ.มหาสารคาม | สัญญา: LITSM/PBF/67-11104 | วันจ่ายเช็ค: 2024-11-28 | วันรับเช็คคืน: 2025-04-29
