dm_4931a021	STS	STS-WTP670627-001(147)	ENC017-PM-บ้านจิตเสือเต้น ม.4 ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร	Close			2024-06-10				338000	0.15	THB	2024-06-27		338000			ENC017	ENC017-PM-บ้านจิตเสือเต้น ม.4 ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร	STS โอนสิทธิ์ - มูลค่าสัญญา 3380000
dm_23cd66db	STS	STS-WTP670627-001(148)	ENC004-PL-บ้านหว้า ม.2 ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์	Close			2024-05-27				520000	0.15	THB	2024-06-27		520000			ENC004	ENC004-PL-บ้านหว้า ม.2 ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์	STS โอนสิทธิ์ - มูลค่าสัญญา 5200000
dm_9af8a887	STS	STS-WTP670529-010(141)	INS002-PL-บ้านหลวงป่ายาง ม.2 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์	Close			2024-05-27				538219.624	0.15	THB	2024-07-12		538219.624			INS002	INS002-PL-บ้านหลวงป่ายาง ม.2 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5382196.24
dm_e96a1376	STS	STS-WTP670730-001(152)	PP007-PL-บ้านท่าสะอาด ม.7 ต.คำสร้างเที่ยง อ.สามชัย จ.กาฬสินธุ์	Close			2024-06-11				540000	0.15	THB	2024-07-30		540000			PP007	PP007-PL-บ้านท่าสะอาด ม.7 ต.คำสร้างเที่ยง อ.สามชัย จ.กาฬสินธุ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_6bd5e7a8	STS	STS-WTP670730-002(153)	PP008-PL-บ้านพิมูล ม.2 ต.พิมูล อ.ห้วยเม็ก จ.กาฬสินธุ์	Close			2024-06-12				540000	0.15	THB	2024-07-30		540000			PP008	PP008-PL-บ้านพิมูล ม.2 ต.พิมูล อ.ห้วยเม็ก จ.กาฬสินธุ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_0e3606d2	STS	STS-WTP670730-003(154)	STR008-PL-เปรงพุทรา ม.10 ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี	Close			2024-06-17				540000	0.15	THB	2024-07-30		540000			STR008	STR008-PL-เปรงพุทรา ม.10 ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี	STS โอนสิทธิ์ - มูลค่าสัญญา 5395974.52
dm_24005622	STS	STS-WTP670730-004(155)	STR006-PL-บ้านลำพระยา ม.1 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	Close			2024-06-10				540000	0.15	THB	2024-07-30		540000			STR006	STR006-PL-บ้านลำพระยา ม.1 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_91653e51	STS	STS-WTP670730-005(156)	TTI004-PL-บ้านทุ่งกราด ม.8 ต.สะตอ อ.เขาสมิง จ.ตราด	Close			2024-06-21				540000	0.15	THB	2024-08-14		540000			TTI004	TTI004-PL-บ้านทุ่งกราด ม.8 ต.สะตอ อ.เขาสมิง จ.ตราด	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_60d48863	STS	STS-WTP670731-002(159)	PP011-PL-คำบอน ม.3 ต.ยางอู้ม อ.ท่าคันโท จ.กาฬสินธุ์	Close			2024-06-17				540000	0.15	THB	2024-08-16		540000			PP011	PP011-PL-คำบอน ม.3 ต.ยางอู้ม อ.ท่าคันโท จ.กาฬสินธุ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_a10862b1	STS	STS-WTP670731-003(160)	ENC019-PL-บ้านดอนไชย ม.4 ต.หลวงเหนือ อ.งาว จ.ลำปาง	Close			2024-06-12				540000	0.15	THB	2024-08-16		540000			ENC019	ENC019-PL-บ้านดอนไชย ม.4 ต.หลวงเหนือ อ.งาว จ.ลำปาง	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
