dm_d6e43354	WCI-Project	STS-WTP670610-002(143)-WCI	STR007-PL-บ้านย่านยาว ม.3 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	Close			2024-06-10				2160000	0.10	THB	2024-06-07		2160000			STR007	STR007-PL-บ้านย่านยาว ม.3 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670610-002(143))	
dm_dbbb2683	STS	STS-WTP670529-009 (140)	ENC001-PL-บ้านนา ม.2 ต.บ้านนา อ.วชิรบารมี จ.พิจิตร	Close			2024-05-24				540000	0.15	THB	2024-07-30		540000			ENC001	ENC001-PL-บ้านนา ม.2 ต.บ้านนา อ.วชิรบารมี จ.พิจิตร	STS โอนสิทธิ์ - มูลค่าสัญญา 5397000	
dm_7607fcd0	WCI-Project	STS-WTP670529-009 (140)-WCI	ENC001-PL-บ้านนา ม.2 ต.บ้านนา อ.วชิรบารมี จ.พิจิตร	Close			2024-05-24				2160000	0.10	THB	2024-06-19		2160000			ENC001	ENC001-PL-บ้านนา ม.2 ต.บ้านนา อ.วชิรบารมี จ.พิจิตร	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670529-009 (140))	
dm_880e81b0	STS	STS-WTP670529-005 (136)	ENC006-PL-บ้านโนนสะอาด ม.2 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	Close			2024-05-27				540000	0.15	THB	2024-07-15		540000			ENC006	ENC006-PL-บ้านโนนสะอาด ม.2 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_39a1b740	WCI-Project	STS-WTP670529-005 (136)-WCI	ENC006-PL-บ้านโนนสะอาด ม.2 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	Close			2024-05-27				2160000	0.10	THB	2024-06-21		2160000			ENC006	ENC006-PL-บ้านโนนสะอาด ม.2 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670529-005 (136))	
dm_1874fc3e	STS	STS-WTP670529-006 (137)	ENC005-PL-บ้านแวง ม.1 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	Close			2024-05-27				540000	0.15	THB	2024-07-30		540000			ENC005	ENC005-PL-บ้านแวง ม.1 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_d3718bdd	WCI-Project	STS-WTP670529-006 (137)-WCI	ENC005-PL-บ้านแวง ม.1 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	Close			2024-05-27				2160000	0.10	THB	2024-06-21		2160000			ENC005	ENC005-PL-บ้านแวง ม.1 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670529-006 (137))	
dm_c9811dfd	STS	STS-WTP670529-007 (138)	ENC007-PL-บ้านสระแวง ม.7 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	Close			2024-05-27				540000	0.15	THB	2024-07-30		540000			ENC007	ENC007-PL-บ้านสระแวง ม.7 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_a7557b3e	WCI-Project	STS-WTP670529-007 (138)-WCI	ENC007-PL-บ้านสระแวง ม.7 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	Close			2024-05-27				2160000	0.10	THB	2024-06-21		2160000			ENC007	ENC007-PL-บ้านสระแวง ม.7 ต.บ้านแวง อ.พุทไธสง จ.บุรีรัมย์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670529-007 (138))	
dm_ac6deba3	STS	STS-WTP670529-008 (139)	ENC003-PL-บ้านทรายขาว ม.7 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่	Close			2024-05-24				540000	0.15	THB	2024-07-30		540000			ENC003	ENC003-PL-บ้านทรายขาว ม.7 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_a506b57b	WCI-Project	STS-WTP670529-008 (139)-WCI	ENC003-PL-บ้านทรายขาว ม.7 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่	Close			2024-05-24				2160000	0.10	THB	2024-06-21		2160000			ENC003	ENC003-PL-บ้านทรายขาว ม.7 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670529-008 (139))	
dm_703b41bd	STS	STS-WTP670627-001(145)	PP003-PL-บ้านม่วง ม.3 ต.เขาย่า อ.ศรีบรรพต จ.พัทลุง	Close			2024-05-28				520000	0.15	THB	2024-07-30		520000			PP003	PP003-PL-บ้านม่วง ม.3 ต.เขาย่า อ.ศรีบรรพต จ.พัทลุง	STS โอนสิทธิ์ - มูลค่าสัญญา 5200000	
dm_d5a24634	WCI-Project	STS-WTP670627-001(145)-WCI	PP003-PL-บ้านม่วง ม.3 ต.เขาย่า อ.ศรีบรรพต จ.พัทลุง	Close			2024-05-28				2080000	0.10	THB	2024-06-27		2080000			PP003	PP003-PL-บ้านม่วง ม.3 ต.เขาย่า อ.ศรีบรรพต จ.พัทลุง	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670627-001(145))	
dm_0927c67b	STS	STS-WTP670627-001(146)	ENC008-PM-บ้านหนองพนัง ม.1 ต.โป่งน้ำร้อน อ.ฝาง จ.เชียงใหม่	Close			2024-05-28				340000	0.15	THB	2024-07-31		340000			ENC008	ENC008-PM-บ้านหนองพนัง ม.1 ต.โป่งน้ำร้อน อ.ฝาง จ.เชียงใหม่	STS โอนสิทธิ์ - มูลค่าสัญญา 3400000	
dm_5527553b	WCI-Project	STS-WTP670627-001(146)-WCI	ENC008-PM-บ้านหนองพนัง ม.1 ต.โป่งน้ำร้อน อ.ฝาง จ.เชียงใหม่	Close			2024-05-28				1360000	0.10	THB	2024-06-27		1360000			ENC008	ENC008-PM-บ้านหนองพนัง ม.1 ต.โป่งน้ำร้อน อ.ฝาง จ.เชียงใหม่	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670627-001(146))	
dm_eff6c882	STS	STS-WTP670627-001(147)	ENC017-PM-บ้านจิตเสือเต้น ม.4 ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร	Close			2024-06-10				338000	0.15	THB	2024-07-31		338000			ENC017	ENC017-PM-บ้านจิตเสือเต้น ม.4 ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร	STS โอนสิทธิ์ - มูลค่าสัญญา 3380000	
dm_8b7b55aa	WCI-Project	STS-WTP670627-001(147)-WCI	ENC017-PM-บ้านจิตเสือเต้น ม.4 ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร	Close			2024-06-10				2008000	0.10	THB	2024-06-27		2008000			ENC017	ENC017-PM-บ้านจิตเสือเต้น ม.4 ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670627-001(147))	
dm_34430498	STS	STS-WTP670627-001(148)	ENC004-PL-บ้านหว้า ม.2 ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์	Close			2024-05-27				520000	0.15	THB	2024-07-31		520000			ENC004	ENC004-PL-บ้านหว้า ม.2 ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์	STS โอนสิทธิ์ - มูลค่าสัญญา 5200000	
dm_3172aace	WCI-Project	STS-WTP670627-001(148)-WCI	ENC004-PL-บ้านหว้า ม.2 ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์	Close			2024-05-27				2008000	0.10	THB	2024-06-27		2008000			ENC004	ENC004-PL-บ้านหว้า ม.2 ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670627-001(148))	
dm_52dd1a6c	STS	STS-WTP670529-010(141)	INS002-PL-บ้านหลวงป่ายาง ม.2 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์	Close			2024-05-27				540000	0.15	THB	2024-08-27		540000			INS002	INS002-PL-บ้านหลวงป่ายาง ม.2 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5382196.24	
dm_3841cc4d	WCI-Project	STS-WTP670529-010(141)-WCI	INS002-PL-บ้านหลวงป่ายาง ม.2 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์	Close			2024-05-27				2008000	0.10	THB	2024-07-12		2008000			INS002	INS002-PL-บ้านหลวงป่ายาง ม.2 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670529-010(141))	
dm_8a2f4516	STS	STS-WTP670730-001(152)	PP007-PL-บ้านท่าสะอาด ม.7 ต.คำสร้างเที่ยง อ.สามชัย จ.กาฬสินธุ์	Close			2024-06-11				540000	0.15	THB	2024-07-31		540000			PP007	PP007-PL-บ้านท่าสะอาด ม.7 ต.คำสร้างเที่ยง อ.สามชัย จ.กาฬสินธุ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_c205e974	WCI-Project	STS-WTP670730-001(152)-WCI	PP007-PL-บ้านท่าสะอาด ม.7 ต.คำสร้างเที่ยง อ.สามชัย จ.กาฬสินธุ์	Close			2024-06-11				2160000	0.10	THB	2024-07-30		2160000			PP007	PP007-PL-บ้านท่าสะอาด ม.7 ต.คำสร้างเที่ยง อ.สามชัย จ.กาฬสินธุ์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670730-001(152))	
dm_deccecb8	STS	STS-WTP670730-002(153)	PP008-PL-บ้านพิมูล ม.2 ต.พิมูล อ.ห้วยเม็ก จ.กาฬสินธุ์	Close			2024-06-12				540000	0.15	THB	2024-07-31		540000			PP008	PP008-PL-บ้านพิมูล ม.2 ต.พิมูล อ.ห้วยเม็ก จ.กาฬสินธุ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_473ef5bc	WCI-Project	STS-WTP670730-002(153)-WCI	PP008-PL-บ้านพิมูล ม.2 ต.พิมูล อ.ห้วยเม็ก จ.กาฬสินธุ์	Close			2024-06-12				2008000	0.10	THB	2024-07-30		2008000			PP008	PP008-PL-บ้านพิมูล ม.2 ต.พิมูล อ.ห้วยเม็ก จ.กาฬสินธุ์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670730-002(153))	
dm_609869f1	STS	STS-WTP670730-003(154)	STR008-PL-เปรงพุทรา ม.10 ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี	Close			2024-06-17				540000	0.15	THB	2024-07-31		540000			STR008	STR008-PL-เปรงพุทรา ม.10 ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี	STS โอนสิทธิ์ - มูลค่าสัญญา 5395974.52	
dm_84feb491	WCI-Project	STS-WTP670730-003(154)-WCI	STR008-PL-เปรงพุทรา ม.10 ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี	Close			2024-06-17				2160000	0.10	THB	2024-07-30		2160000			STR008	STR008-PL-เปรงพุทรา ม.10 ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670730-003(154))	
dm_656782f6	STS	STS-WTP670730-004(155)	STR006-PL-บ้านลำพระยา ม.1 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	Close			2024-06-10				540000	0.15	THB	2024-07-31		540000			STR006	STR006-PL-บ้านลำพระยา ม.1 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_f655c2e9	WCI-Project	STS-WTP670730-004(155)-WCI	STR006-PL-บ้านลำพระยา ม.1 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	Close			2024-06-10				560000	0.10	THB	2024-07-30		560000			STR006	STR006-PL-บ้านลำพระยา ม.1 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670730-004(155))	[{"date":"2024-08-09","amount":600000,"note":"WCI ครั้งที่ 2"},{"date":"2024-08-16","amount":1000000,"note":"WCI ครั้งที่ 3"}]
dm_660feeb2	STS	STS-WTP670730-005(156)	TTI004-PL-บ้านทุ่งกราด ม.8 ต.สะตอ อ.เขาสมิง จ.ตราด	Close			2024-06-21				540000	0.15	THB	2024-07-31		540000			TTI004	TTI004-PL-บ้านทุ่งกราด ม.8 ต.สะตอ อ.เขาสมิง จ.ตราด	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
