ev_9b7df71c	dm_28994ba5	STS-WTP670730-005(156)-WCI	repayment	2025-03-07	2160000	คืน WCI งวด 1
ev_a3344067	dm_7214600b	STS-WTP670731-002(159)-WCI	repayment	2024-11-07	832000	คืน WCI งวด 1
ev_6b3e811f	dm_7214600b	STS-WTP670731-002(159)-WCI	repayment	2025-02-07	1176000	คืน WCI งวด 2
ev_2b547bd0	dm_b62c0491	STS-WTP670731-003(160)-WCI	repayment	2024-09-27	832000	คืน WCI งวด 1
ev_f8d535f2	dm_b62c0491	STS-WTP670731-003(160)-WCI	repayment	2025-02-03	1176000	คืน WCI งวด 2
ev_a868aaf0	dm_308d4cf0	STS-WTP670731-001(158)/1	drawdown	2024-08-29	200000	STS ครั้งที่ 2
ev_80c1a312	dm_0a7196e5	STS-WTP670731-001(158)/1-WCI	drawdown	2024-08-16	340624	WCI ครั้งที่ 2
ev_9e89dbb8	dm_0a7196e5	STS-WTP670731-001(158)/1-WCI	repayment	2025-02-07	1360000	คืน WCI งวด 1
ev_174c0f72	dm_d11dd69d	STS-WTP6708001-001(161)-WCI	repayment	2025-03-11	2160000	คืน WCI งวด 1
ev_5c095545	dm_e7ebefac	STS-WTP6708001-002(162)-WCI	repayment	2025-02-20	864000	คืน WCI งวด 1
ev_92ae7cd5	dm_e7ebefac	STS-WTP6708001-002(162)-WCI	repayment	2025-02-20	1296000	คืน WCI งวด 2
ev_d198caa8	dm_3a419291	STS-WTP671030-001(176)-WCI	repayment	2025-05-13	1800000	คืน WCI งวด 1
ev_f5f8cf31	dm_6e3780dc	STS-WTP671030-002(177)-WCI	drawdown	2024-08-23	80624	WCI ครั้งที่ 2
ev_b3168e20	dm_6e3780dc	STS-WTP671030-002(177)-WCI	repayment	2025-05-13	1800000	คืน WCI งวด 1
ev_23b97679	dm_0fa63b68	STS-WTP671030-003(178)-WCI	drawdown	2024-08-26	200000	WCI ครั้งที่ 2
ev_8d5b998f	dm_0fa63b68	STS-WTP671030-003(178)-WCI	drawdown	2024-09-10	515624	WCI ครั้งที่ 3
ev_38a4b759	dm_0fa63b68	STS-WTP671030-003(178)-WCI	repayment	2025-05-13	1800000	คืน WCI งวด 1
ev_061beacd	dm_65161560	STS-WTP671030-004(179)-WCI	repayment	2025-05-13	1800000	คืน WCI งวด 1
ev_1f499769	dm_2b9bdee5	STS-WTP671129-009(206)-WCI	repayment	2025-03-26	2160000	คืน WCI งวด 1
ev_e8cd2827	dm_beb72bd9	STS-WTP671129-010(207)-WCI	drawdown	2024-09-10	1120000	WCI ครั้งที่ 2
